task,implant_type,model_type,architecture,run,architecture_family,accuracy,trial_count
doorway,12_10,pointy,vgg16_bn.tv_in1k,4,VGG,0.9965277777777778,288
doorway,12_10,pointy,vgg16_bn.tv_in1k,5,VGG,0.9965277777777778,288
doorway,12_10,pointy,vgg16_bn.tv_in1k,6,VGG,0.9965277777777778,288
doorway,12_10,pointy,vgg16_bn.tv_in1k,7,VGG,0.9965277777777778,288
doorway,12_10,pointy,vgg16_bn.tv_in1k,8,VGG,0.9965277777777778,288
doorway,12_10,pointy,vgg16_bn.tv_in1k,9,VGG,0.9965277777777778,288
doorway,12_10,pointy,vgg16_bn.tv_in1k,10,VGG,0.9930555555555556,288
doorway,12_10,pointy,vgg16_bn.tv_in1k,11,VGG,0.9965277777777778,288
doorway,12_10,pointy,vgg16_bn.tv_in1k,12,VGG,0.9965277777777778,288
doorway,12_10,pointy,vgg19_bn.tv_in1k,1,VGG,0.9826388888888888,288
doorway,12_10,pointy,vgg19_bn.tv_in1k,2,VGG,0.9826388888888888,288
doorway,12_10,pointy,vgg19_bn.tv_in1k,3,VGG,0.9930555555555556,288
doorway,12_10,pointy,vgg19_bn.tv_in1k,4,VGG,0.9861111111111112,288
doorway,12_10,pointy,vgg19_bn.tv_in1k,5,VGG,0.9930555555555556,288
doorway,12_10,pointy,vgg19_bn.tv_in1k,6,VGG,0.9930555555555556,288
doorway,12_10,pointy,vgg19_bn.tv_in1k,7,VGG,0.9826388888888888,288
doorway,12_10,pointy,vgg19_bn.tv_in1k,8,VGG,0.9826388888888888,288
doorway,12_10,pointy,vgg19_bn.tv_in1k,9,VGG,0.9930555555555556,288
doorway,12_10,pointy,vgg19_bn.tv_in1k,10,VGG,0.9861111111111112,288
doorway,12_10,pointy,vgg19_bn.tv_in1k,11,VGG,0.9826388888888888,288
doorway,12_10,pointy,vgg19_bn.tv_in1k,12,VGG,0.9930555555555556,288
doorway,12_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,1,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,2,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,3,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,4,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,5,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,6,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,7,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,8,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,9,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,10,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,11,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,12,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.dino,1,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.dino,2,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.dino,3,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.dino,4,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.dino,5,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.dino,6,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.dino,7,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.dino,8,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.dino,9,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.dino,10,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.dino,11,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.dino,12,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.mae,1,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.mae,2,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.mae,3,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.mae,4,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.mae,5,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.mae,6,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.mae,7,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.mae,8,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.mae,9,Vision Transformer (ViT),1.0,288
doorway,12_10,pointy,vit_base_patch16_224.mae,10,Vision Transformer (ViT),1.0,288
