task,implant_type,model_type,run,accuracy
locate_person,12_20,pointy,9,0.9996428571428572
locate_person,12_20,pointy,10,0.9995238095238095
locate_person,12_20,pointy,11,0.9997619047619047
locate_person,12_20,pointy,12,0.9996428571428572
locate_person,12_20,streaky,1,0.9989285714285714
locate_person,12_20,streaky,2,0.9988095238095238
locate_person,12_20,streaky,3,0.9990476190476191
locate_person,12_20,streaky,4,0.9988095238095238
locate_person,12_20,streaky,5,0.9988095238095238
locate_person,12_20,streaky,6,0.9988095238095238
locate_person,12_20,streaky,7,0.9989285714285714
locate_person,12_20,streaky,8,0.998452380952381
locate_person,12_20,streaky,9,0.9988095238095238
locate_person,12_20,streaky,10,0.9988095238095238
locate_person,12_20,streaky,11,0.9989285714285714
locate_person,12_20,streaky,12,0.9980952380952381
locate_person,6_10,pointy,1,0.9822619047619048
locate_person,6_10,pointy,2,0.9514285714285714
locate_person,6_10,pointy,3,0.9692857142857143
locate_person,6_10,pointy,4,0.9748809523809524
locate_person,6_10,pointy,5,0.9792857142857143
locate_person,6_10,pointy,6,0.9504761904761905
locate_person,6_10,pointy,7,0.97
locate_person,6_10,pointy,8,0.9701190476190477
locate_person,6_10,pointy,9,0.9725
locate_person,6_10,pointy,10,0.9760714285714286
locate_person,6_10,pointy,11,0.9738095238095238
locate_person,6_10,pointy,12,0.9604761904761905
locate_person,6_10,streaky,1,0.9923809523809524
locate_person,6_10,streaky,2,0.9897619047619047
locate_person,6_10,streaky,3,0.9920238095238095
locate_person,6_10,streaky,4,0.9905952380952381
locate_person,6_10,streaky,5,0.9922619047619048
locate_person,6_10,streaky,6,0.9916666666666667
locate_person,6_10,streaky,7,0.9923809523809524
locate_person,6_10,streaky,8,0.9920238095238095
locate_person,6_10,streaky,9,0.991547619047619
locate_person,6_10,streaky,10,0.9929761904761905
locate_person,6_10,streaky,11,0.9925
locate_person,6_10,streaky,12,0.9927380952380952
locate_person,6_15,pointy,1,0.9870238095238095
locate_person,6_15,pointy,2,0.9791666666666666
locate_person,6_15,pointy,3,0.9872619047619048
locate_person,6_15,pointy,4,0.9844047619047619
locate_person,6_15,pointy,5,0.9851190476190477
locate_person,6_15,pointy,6,0.9788095238095238
locate_person,6_15,pointy,7,0.9870238095238095
locate_person,6_15,pointy,8,0.9877380952380952
locate_person,6_15,pointy,9,0.9791666666666666
locate_person,6_15,pointy,10,0.98
locate_person,6_15,pointy,11,0.9841666666666666
locate_person,6_15,pointy,12,0.9830952380952381
locate_person,6_15,streaky,1,0.993452380952381
locate_person,6_15,streaky,2,0.9942857142857143
locate_person,6_15,streaky,3,0.9927380952380952
locate_person,6_15,streaky,4,0.9928571428571429
locate_person,6_15,streaky,5,0.9936904761904762
locate_person,6_15,streaky,6,0.9945238095238095
locate_person,6_15,streaky,7,0.9927380952380952
locate_person,6_15,streaky,8,0.9947619047619047
locate_person,6_15,streaky,9,0.9948809523809524
locate_person,6_15,streaky,10,0.9935714285714285
locate_person,6_15,streaky,11,0.9946428571428572
locate_person,6_15,streaky,12,0.995
locate_person,6_20,pointy,1,0.9814285714285714
locate_person,6_20,pointy,2,0.9816666666666667
locate_person,6_20,pointy,3,0.9797619047619047
locate_person,6_20,pointy,4,0.9809523809523809
locate_person,6_20,pointy,5,0.9826190476190476
locate_person,6_20,pointy,6,0.9820238095238095
locate_person,6_20,pointy,7,0.9804761904761905
locate_person,6_20,pointy,8,0.9823809523809524
locate_person,6_20,pointy,9,0.9745238095238096
locate_person,6_20,pointy,10,0.9822619047619048
locate_person,6_20,pointy,11,0.9808333333333333
locate_person,6_20,pointy,12,0.9786904761904762
locate_person,6_20,streaky,1,0.9972619047619048
locate_person,6_20,streaky,2,0.9964285714285714
locate_person,6_20,streaky,3,0.9970238095238095
locate_person,6_20,streaky,4,0.9963095238095238
locate_person,6_20,streaky,5,0.9970238095238095
locate_person,6_20,streaky,6,0.9970238095238095
locate_person,6_20,streaky,7,0.996904761904762
locate_person,6_20,streaky,8,0.996904761904762
locate_person,6_20,streaky,9,0.9967857142857143
locate_person,6_20,streaky,10,0.9970238095238095
locate_person,6_20,streaky,11,0.996904761904762
locate_person,6_20,streaky,12,0.996547619047619
locate_person,9_10,pointy,1,0.98
locate_person,9_10,pointy,2,0.9922619047619048
locate_person,9_10,pointy,3,0.991547619047619
locate_person,9_10,pointy,4,0.9861904761904762
locate_person,9_10,pointy,5,0.9895238095238095
locate_person,9_10,pointy,6,0.9769047619047619
locate_person,9_10,pointy,7,0.9889285714285714
locate_person,9_10,pointy,8,0.9876190476190476
locate_person,9_10,pointy,9,0.9882142857142857
locate_person,9_10,pointy,10,0.9858333333333333
locate_person,9_10,pointy,11,0.9907142857142858
locate_person,9_10,pointy,12,0.9901190476190476
locate_person,9_10,streaky,1,0.9954761904761905
locate_person,9_10,streaky,2,0.9947619047619047
locate_person,9_10,streaky,3,0.9958333333333333
locate_person,9_10,streaky,4,0.9947619047619047
locate_person,9_10,streaky,5,0.9951190476190476
locate_person,9_10,streaky,6,0.9945238095238095
locate_person,9_10,streaky,7,0.9951190476190476
locate_person,9_10,streaky,8,0.9948809523809524
locate_person,9_10,streaky,9,0.9952380952380953
locate_person,9_10,streaky,10,0.9948809523809524
locate_person,9_10,streaky,11,0.9954761904761905
locate_person,9_10,streaky,12,0.9947619047619047
person_facing_direction,12_10,pointy,1,0.8611904761904762
person_facing_direction,12_10,pointy,2,0.8647619047619047
person_facing_direction,12_10,pointy,3,0.8698809523809524
person_facing_direction,12_10,pointy,4,0.8483333333333334
person_facing_direction,12_10,pointy,5,0.8252380952380952
person_facing_direction,12_10,pointy,6,0.8579761904761904
person_facing_direction,12_10,pointy,7,0.8438095238095238
person_facing_direction,12_10,pointy,8,0.8427380952380953
person_facing_direction,12_10,pointy,9,0.8332142857142857
person_facing_direction,12_10,pointy,10,0.8595238095238096
person_facing_direction,12_10,pointy,11,0.8321428571428572
person_facing_direction,12_10,pointy,12,0.8641666666666666
person_facing_direction,12_10,streaky,1,0.9070238095238096
person_facing_direction,12_10,streaky,2,0.898452380952381
person_facing_direction,12_10,streaky,3,0.9041666666666667
person_facing_direction,12_10,streaky,4,0.8914285714285715
person_facing_direction,12_10,streaky,5,0.8797619047619047
person_facing_direction,12_10,streaky,6,0.8958333333333334
person_facing_direction,12_10,streaky,7,0.8958333333333334
person_facing_direction,12_10,streaky,8,0.8945238095238095
person_facing_direction,12_10,streaky,9,0.9008333333333334
person_facing_direction,12_10,streaky,10,0.9017857142857143
person_facing_direction,12_10,streaky,11,0.8883333333333333
person_facing_direction,12_10,streaky,12,0.8895238095238095
person_facing_direction,12_20,pointy,1,0.9554761904761905
person_facing_direction,12_20,pointy,2,0.9580952380952381
person_facing_direction,12_20,pointy,3,0.9604761904761905
person_facing_direction,12_20,pointy,4,0.955595238095238
person_facing_direction,12_20,pointy,5,0.9577380952380953
person_facing_direction,12_20,pointy,6,0.954047619047619
person_facing_direction,12_20,pointy,7,0.9571428571428572
person_facing_direction,12_20,pointy,8,0.9503571428571429
person_facing_direction,12_20,pointy,9,0.9595238095238096
person_facing_direction,12_20,pointy,10,0.9578571428571429
person_facing_direction,12_20,pointy,11,0.9501190476190476
person_facing_direction,12_20,pointy,12,0.95
person_facing_direction,12_20,streaky,1,0.9539285714285715
person_facing_direction,12_20,streaky,2,0.9470238095238095
person_facing_direction,12_20,streaky,3,0.9465476190476191
person_facing_direction,12_20,streaky,4,0.9567857142857142
person_facing_direction,12_20,streaky,5,0.9463095238095238
person_facing_direction,12_20,streaky,6,0.9508333333333333
person_facing_direction,12_20,streaky,7,0.9553571428571429
person_facing_direction,12_20,streaky,8,0.9502380952380952
person_facing_direction,12_20,streaky,9,0.9486904761904762
person_facing_direction,12_20,streaky,10,0.9471428571428572
person_facing_direction,12_20,streaky,11,0.9546428571428571
person_facing_direction,12_20,streaky,12,0.9469047619047619
person_facing_direction,6_10,pointy,1,0.7747619047619048
person_facing_direction,6_10,pointy,2,0.8027380952380953
person_facing_direction,6_10,pointy,3,0.7739285714285714
person_facing_direction,6_10,pointy,4,0.7947619047619048
person_facing_direction,6_10,pointy,5,0.7828571428571428
person_facing_direction,6_10,pointy,6,0.7766666666666666
person_facing_direction,6_10,pointy,7,0.8058333333333333
person_facing_direction,6_10,pointy,8,0.7864285714285715
person_facing_direction,6_10,pointy,9,0.7946428571428571
person_facing_direction,6_10,pointy,10,0.7639285714285714
person_facing_direction,6_10,pointy,11,0.8063095238095238
person_facing_direction,6_10,pointy,12,0.743452380952381
person_facing_direction,6_10,streaky,1,0.8658333333333333
person_facing_direction,6_10,streaky,2,0.8733333333333333
person_facing_direction,6_10,streaky,3,0.8541666666666666
person_facing_direction,6_10,streaky,4,0.8722619047619048
person_facing_direction,6_10,streaky,5,0.8523809523809524
person_facing_direction,6_10,streaky,6,0.8751190476190476
person_facing_direction,6_10,streaky,7,0.8783333333333333
person_facing_direction,6_10,streaky,8,0.8654761904761905
person_facing_direction,6_10,streaky,9,0.8776190476190476
person_facing_direction,6_10,streaky,10,0.8736904761904762
person_facing_direction,6_10,streaky,11,0.8791666666666667
person_facing_direction,6_10,streaky,12,0.8696428571428572
person_facing_direction,6_15,pointy,1,0.8414285714285714
person_facing_direction,6_15,pointy,2,0.8148809523809524
person_facing_direction,6_15,pointy,3,0.8585714285714285
person_facing_direction,6_15,pointy,4,0.8522619047619048
person_facing_direction,6_15,pointy,5,0.8416666666666667
person_facing_direction,6_15,pointy,6,0.8529761904761904
person_facing_direction,6_15,pointy,7,0.8426190476190476
person_facing_direction,6_15,pointy,8,0.8382142857142857
person_facing_direction,6_15,pointy,9,0.8376190476190476
person_facing_direction,6_15,pointy,10,0.8601190476190477
person_facing_direction,6_15,pointy,11,0.8383333333333334
person_facing_direction,6_15,pointy,12,0.8448809523809524
person_facing_direction,6_15,streaky,1,0.8939285714285714
person_facing_direction,6_15,streaky,2,0.9022619047619047
person_facing_direction,6_15,streaky,3,0.9036904761904762
person_facing_direction,6_15,streaky,4,0.910952380952381
person_facing_direction,6_15,streaky,5,0.9121428571428571
person_facing_direction,6_15,streaky,6,0.9064285714285715
person_facing_direction,6_15,streaky,7,0.9127380952380952
person_facing_direction,6_15,streaky,8,0.8995238095238095
person_facing_direction,6_15,streaky,9,0.9016666666666666
person_facing_direction,6_15,streaky,10,0.9082142857142858
person_facing_direction,6_15,streaky,11,0.8969047619047619
person_facing_direction,6_15,streaky,12,0.89
person_facing_direction,6_20,pointy,1,0.8686904761904762
person_facing_direction,6_20,pointy,2,0.8620238095238095
person_facing_direction,6_20,pointy,3,0.8648809523809524
person_facing_direction,6_20,pointy,4,0.8683333333333333
person_facing_direction,6_20,pointy,5,0.8747619047619047
person_facing_direction,6_20,pointy,6,0.8730952380952381
person_facing_direction,6_20,pointy,7,0.8714285714285714
person_facing_direction,6_20,pointy,8,0.8626190476190476
person_facing_direction,6_20,pointy,9,0.838452380952381
person_facing_direction,6_20,pointy,10,0.8528571428571429
person_facing_direction,6_20,pointy,11,0.8382142857142857
person_facing_direction,6_20,pointy,12,0.8692857142857143
person_facing_direction,6_20,streaky,1,0.916547619047619
person_facing_direction,6_20,streaky,2,0.9041666666666667
person_facing_direction,6_20,streaky,3,0.9195238095238095
person_facing_direction,6_20,streaky,4,0.9160714285714285
person_facing_direction,6_20,streaky,5,0.8971428571428571
person_facing_direction,6_20,streaky,6,0.9179761904761905
person_facing_direction,6_20,streaky,7,0.9094047619047619
person_facing_direction,6_20,streaky,8,0.896547619047619
person_facing_direction,6_20,streaky,9,0.9157142857142857
person_facing_direction,6_20,streaky,10,0.9170238095238096
person_facing_direction,6_20,streaky,11,0.9126190476190477
person_facing_direction,6_20,streaky,12,0.9155952380952381
person_facing_direction,9_10,pointy,1,0.8204761904761905
person_facing_direction,9_10,pointy,2,0.845
person_facing_direction,9_10,pointy,3,0.8536904761904762
person_facing_direction,9_10,pointy,4,0.8352380952380952
person_facing_direction,9_10,pointy,5,0.8426190476190476
person_facing_direction,9_10,pointy,6,0.8348809523809524
person_facing_direction,9_10,pointy,7,0.8283333333333334
person_facing_direction,9_10,pointy,8,0.8365476190476191
person_facing_direction,9_10,pointy,9,0.8377380952380953
person_facing_direction,9_10,pointy,10,0.8590476190476191
person_facing_direction,9_10,pointy,11,0.8258333333333333
person_facing_direction,9_10,pointy,12,0.8610714285714286
person_facing_direction,9_10,streaky,1,0.8992857142857142
person_facing_direction,9_10,streaky,2,0.8847619047619047
person_facing_direction,9_10,streaky,3,0.8998809523809523
person_facing_direction,9_10,streaky,4,0.8958333333333334
person_facing_direction,9_10,streaky,5,0.8994047619047619
person_facing_direction,9_10,streaky,6,0.8927380952380952
person_facing_direction,9_10,streaky,7,0.8936904761904761
person_facing_direction,9_10,streaky,8,0.8978571428571429
person_facing_direction,9_10,streaky,9,0.8925
person_facing_direction,9_10,streaky,10,0.8991666666666667
person_facing_direction,9_10,streaky,11,0.8928571428571429
person_facing_direction,9_10,streaky,12,0.8991666666666667
shape,12_10,pointy,1,0.8576281055900621
