architecture,optimal_sigma,task,implant_type,model_type,accuracy
DINOv3 ViT Base,6.123942640274776,shape,6_10,streaky,0.6364914150943396
DINOv3 ViT Base,6.123942640274776,shape,6_15,pointy,0.6981011307901908
DINOv3 ViT Base,6.123942640274776,shape,6_15,streaky,0.7082651912568306
DINOv3 ViT Base,6.123942640274776,shape,6_20,pointy,0.7040302602739725
DINOv3 ViT Base,6.123942640274776,shape,6_20,streaky,0.7223437691237831
DINOv3 ViT Base,6.123942640274776,shape,9_10,pointy,0.5687229863013699
DINOv3 ViT Base,6.123942640274776,shape,9_10,streaky,0.6782826960110041
ResNet18,0.005320180123926295,shape,12_10,pointy,0.577259633152174
ResNet18,0.005320180123926295,shape,12_10,streaky,0.5940862482758621
ResNet18,0.005320180123926295,shape,12_20,pointy,0.68812275579809
ResNet18,0.005320180123926295,shape,12_20,streaky,0.6327725997248967
ResNet18,0.005320180123926295,shape,6_10,pointy,0.4695510136986301
ResNet18,0.005320180123926295,shape,6_10,streaky,0.461661064690027
ResNet18,0.005320180123926295,shape,6_15,pointy,0.5750443460490463
ResNet18,0.005320180123926295,shape,6_15,streaky,0.5425403688524589
ResNet18,0.005320180123926295,shape,6_20,pointy,0.6264332739726027
ResNet18,0.005320180123926295,shape,6_20,streaky,0.5465909874826147
ResNet18,0.005320180123926295,shape,9_10,pointy,0.5538784794520548
ResNet18,0.005320180123926295,shape,9_10,streaky,0.5733289683631362
ResNet50,0.01197779921110943,shape,12_10,pointy,0.5055686005434782
ResNet50,0.01197779921110943,shape,12_10,streaky,0.48881575172413794
ResNet50,0.01197779921110943,shape,12_20,pointy,0.589543874488404
ResNet50,0.01197779921110943,shape,12_20,streaky,0.5525117744154058
ResNet50,0.01197779921110943,shape,6_10,pointy,0.4306964246575342
ResNet50,0.01197779921110943,shape,6_10,streaky,0.4113146900269541
ResNet50,0.01197779921110943,shape,6_15,pointy,0.4960603950953678
ResNet50,0.01197779921110943,shape,6_15,streaky,0.47521091530054643
ResNet50,0.01197779921110943,shape,6_20,pointy,0.5176921095890411
ResNet50,0.01197779921110943,shape,6_20,streaky,0.4979586230876216
ResNet50,0.01197779921110943,shape,9_10,pointy,0.5046554931506848
ResNet50,0.01197779921110943,shape,9_10,streaky,0.45898707015130674
VGG11,8.1396426458562,shape,12_10,pointy,0.6701293614130435
VGG11,8.1396426458562,shape,12_10,streaky,0.6730337793103448
VGG11,8.1396426458562,shape,12_20,pointy,0.7839124556616645
VGG11,8.1396426458562,shape,12_20,streaky,0.7730172627235213
VGG11,8.1396426458562,shape,6_10,pointy,0.6066841369863012
VGG11,8.1396426458562,shape,6_10,streaky,0.6007159433962264
VGG11,8.1396426458562,shape,6_15,pointy,0.7007462534059946
VGG11,8.1396426458562,shape,6_15,streaky,0.6642604234972678
VGG11,8.1396426458562,shape,6_20,pointy,0.7037488493150684
VGG11,8.1396426458562,shape,6_20,streaky,0.7041344506258692
VGG11,8.1396426458562,shape,9_10,pointy,0.6556954383561643
VGG11,8.1396426458562,shape,9_10,streaky,0.651535969738652
VGG13,8.156226628652567,shape,12_10,pointy,0.7048133695652175
VGG13,8.156226628652567,shape,12_10,streaky,0.702105351724138
VGG13,8.156226628652567,shape,12_20,pointy,0.7759996862210097
VGG13,8.156226628652567,shape,12_20,streaky,0.756568431911967
VGG13,8.156226628652567,shape,6_10,pointy,0.5931981506849315
VGG13,8.156226628652567,shape,6_10,streaky,0.5915750943396226
VGG13,8.156226628652567,shape,6_15,pointy,0.6978058446866486
VGG13,8.156226628652567,shape,6_15,streaky,0.656531762295082
VGG13,8.156226628652567,shape,6_20,pointy,0.7327636164383562
VGG13,8.156226628652567,shape,6_20,streaky,0.6782892489568846
VGG13,8.156226628652567,shape,9_10,pointy,0.6639902191780822
VGG13,8.156226628652567,shape,9_10,streaky,0.6669266850068776
VGG16,4.010618558416029,shape,12_10,pointy,0.7106830027173913
