architecture,optimal_k,task,implant_type,model_type,accuracy
ConvNeXt Tiny,8.144786345354168,shape,6_20,pointy,0.7262933424657535
ConvNeXt Tiny,8.144786345354168,shape,6_20,streaky,0.6864552155771906
ConvNeXt Tiny,8.144786345354168,shape,9_10,pointy,0.6364329041095892
ConvNeXt Tiny,8.144786345354168,shape,9_10,streaky,0.6670686107290233
DINOv3 ViT Base,6.5730407177714545,shape,12_10,pointy,0.6044202717391305
DINOv3 ViT Base,6.5730407177714545,shape,12_10,streaky,0.6784782206896552
DINOv3 ViT Base,6.5730407177714545,shape,12_20,pointy,0.9986121691678035
DINOv3 ViT Base,6.5730407177714545,shape,12_20,streaky,0.9740606464924347
DINOv3 ViT Base,6.5730407177714545,shape,6_10,pointy,0.4336418493150685
DINOv3 ViT Base,6.5730407177714545,shape,6_10,streaky,0.5224099460916442
DINOv3 ViT Base,6.5730407177714545,shape,6_15,pointy,0.5898053133514986
DINOv3 ViT Base,6.5730407177714545,shape,6_15,streaky,0.7527913251366121
DINOv3 ViT Base,6.5730407177714545,shape,6_20,pointy,0.6076287260273973
DINOv3 ViT Base,6.5730407177714545,shape,6_20,streaky,0.865213421418637
DINOv3 ViT Base,6.5730407177714545,shape,9_10,pointy,0.45100761643835624
DINOv3 ViT Base,6.5730407177714545,shape,9_10,streaky,0.5791275240715268
ResNet18,0.005320180123926295,shape,12_10,pointy,0.5772218342391304
ResNet18,0.005320180123926295,shape,12_10,streaky,0.5940361655172415
ResNet18,0.005320180123926295,shape,12_20,pointy,0.6880997407912688
ResNet18,0.005320180123926295,shape,12_20,streaky,0.6326916231086657
ResNet18,0.005320180123926295,shape,6_10,pointy,0.4695298767123289
ResNet18,0.005320180123926295,shape,6_10,streaky,0.4616547574123989
ResNet18,0.005320180123926295,shape,6_15,pointy,0.5750423569482289
ResNet18,0.005320180123926295,shape,6_15,streaky,0.5426245491803279
ResNet18,0.005320180123926295,shape,6_20,pointy,0.6264115205479452
ResNet18,0.005320180123926295,shape,6_20,streaky,0.5466402364394993
ResNet18,0.005320180123926295,shape,9_10,pointy,0.5538637123287671
ResNet18,0.005320180123926295,shape,9_10,streaky,0.5733058596973866
ResNet50,0.007640036157558438,shape,12_10,pointy,0.5055756929347827
ResNet50,0.007640036157558438,shape,12_10,streaky,0.4888123862068965
ResNet50,0.007640036157558438,shape,12_20,pointy,0.5895385266030013
ResNet50,0.007640036157558438,shape,12_20,streaky,0.5525207152682257
