task,architecture,implant_type,model_type,sigma
shape,DINOv3 ViT Base,6_20,pointy,1.3031563243872368
shape,DINOv3 ViT Base,6_20,streaky,0.603720499909303
shape,DINOv3 ViT Base,9_10,pointy,1.9301651480318123
shape,DINOv3 ViT Base,9_10,streaky,1.3499153396051762
shape,ResNet18,12_10,pointy,1.2977282352478756
shape,ResNet18,12_10,streaky,1.2793720608154573
shape,ResNet18,12_20,pointy,1.376805949328661
shape,ResNet18,12_20,streaky,1.3453475862206912
shape,ResNet18,6_10,pointy,1.1213363084148427
shape,ResNet18,6_10,streaky,1.1289318746513581
shape,ResNet18,6_15,pointy,1.3064341733148028
shape,ResNet18,6_15,streaky,1.294932556015867
shape,ResNet18,6_20,pointy,1.3405114378387346
shape,ResNet18,6_20,streaky,1.3244335604997184
shape,ResNet18,9_10,pointy,1.2743982329625172
shape,ResNet18,9_10,streaky,1.248586282603122
shape,ResNet50,12_10,pointy,1.6514546036516018
shape,ResNet50,12_10,streaky,1.5646316134021623
shape,ResNet50,12_20,pointy,1.6973520409291327
shape,ResNet50,12_20,streaky,1.6085409369834014
shape,ResNet50,6_10,pointy,1.490930878032542
shape,ResNet50,6_10,streaky,1.462355533480272
shape,ResNet50,6_15,pointy,1.5903916130843017
shape,ResNet50,6_15,streaky,1.5943175251136117
shape,ResNet50,6_20,pointy,1.6497404484806462
shape,ResNet50,6_20,streaky,1.5976642483281118
shape,ResNet50,9_10,pointy,1.6192262341238841
shape,ResNet50,9_10,streaky,1.572606711235989
shape,VGG11,12_10,pointy,5.846423490774748
shape,VGG11,12_10,streaky,5.35908387527397
shape,VGG11,12_20,pointy,5.225774778195228
shape,VGG11,12_20,streaky,5.222023983280988
shape,VGG11,6_10,pointy,5.3669847284059005
shape,VGG11,6_10,streaky,5.045393675063213
shape,VGG11,6_15,pointy,5.787973490740001
shape,VGG11,6_15,streaky,5.56046655083372
shape,VGG11,6_20,pointy,6.07815080626341
shape,VGG11,6_20,streaky,5.6686872467269
shape,VGG11,9_10,pointy,6.150070046665881
shape,VGG11,9_10,streaky,5.5156702245857545
shape,VGG13,12_10,pointy,5.495882479791949
shape,VGG13,12_10,streaky,5.0229810807109585
shape,VGG13,12_20,pointy,4.612836825321548
shape,VGG13,12_20,streaky,4.574861968852246
shape,VGG13,6_10,pointy,5.346754213723801
shape,VGG13,6_10,streaky,4.442895926486641
shape,VGG13,6_15,pointy,5.514599427386043
shape,VGG13,6_15,streaky,4.8010301528031425
shape,VGG13,6_20,pointy,5.47855904096811
shape,VGG13,6_20,streaky,4.614468176461094
shape,VGG13,9_10,pointy,5.337198918931047
shape,VGG13,9_10,streaky,4.754734118367726
shape,VGG16,12_10,pointy,4.457653638792364
shape,VGG16,12_10,streaky,4.110319292110462
shape,VGG16,12_20,pointy,4.210828765360394
shape,VGG16,12_20,streaky,4.021399387270278
shape,VGG16,6_10,pointy,4.658060116448001
shape,VGG16,6_10,streaky,4.394914052265174
shape,VGG16,6_15,pointy,4.43123713340777
shape,VGG16,6_15,streaky,4.29229882393182
shape,VGG16,6_20,pointy,4.496310471765422
shape,VGG16,6_20,streaky,4.171425113325628
shape,VGG16,9_10,pointy,4.978733491764782
shape,VGG16,9_10,streaky,4.438795195504338
shape,VGG19,12_10,pointy,4.180052132998369
shape,VGG19,12_10,streaky,4.119079218110053
shape,VGG19,12_20,pointy,4.1963773911575615
shape,VGG19,12_20,streaky,4.024774591244004
shape,VGG19,6_10,pointy,4.374856603831377
shape,VGG19,6_10,streaky,3.8913447586025423
shape,VGG19,6_15,pointy,4.314471314118996
shape,VGG19,6_15,streaky,3.7734718797359625
shape,VGG19,6_20,pointy,4.097893289144306
shape,VGG19,6_20,streaky,3.984303948976788
shape,VGG19,9_10,pointy,4.472628401762997
shape,VGG19,9_10,streaky,4.06309926261097
shape,ViT Base,12_10,pointy,1.4400113306685407
shape,ViT Base,12_10,streaky,1.3906528869028054
shape,ViT Base,12_20,pointy,1.3437362990259267
shape,ViT Base,12_20,streaky,1.453090705746857
shape,ViT Base,6_10,pointy,1.8377571975389724
shape,ViT Base,6_10,streaky,1.7483221247399516
shape,ViT Base,6_15,pointy,1.3224865861911872
shape,ViT Base,6_15,streaky,1.7107581096642186
shape,ViT Base,6_20,pointy,1.425129548512697
shape,ViT Base,6_20,streaky,1.4541041314458225
shape,ViT Base,9_10,pointy,1.4286777749609747
shape,ViT Base,9_10,streaky,1.5111831749334526
shape,ViT Large,12_10,pointy,1.9418381555748407
shape,ViT Large,12_10,streaky,1.6880771908766237
shape,ViT Large,12_20,pointy,1.7338510680452501
shape,ViT Large,12_20,streaky,1.5359006962813007
shape,ViT Large,6_10,pointy,1.7561033141549922
shape,ViT Large,6_10,streaky,1.8856029680961068
shape,ViT Large,6_15,pointy,1.76596467894165
shape,ViT Large,6_15,streaky,1.712445149424635
shape,ViT Large,6_20,pointy,1.625796023151543
shape,ViT Large,6_20,streaky,1.8105675141973403
shape,ViT Large,9_10,pointy,2.0442850079708115
shape,ViT Large,9_10,streaky,1.8742852295522932
shape,ViT Small,12_10,pointy,1.2708448759974738
shape,ViT Small,12_10,streaky,1.1677817607135346
shape,ViT Small,12_20,pointy,0.8344145347374586
shape,ViT Small,12_20,streaky,0.9245585897196879
shape,ViT Small,6_10,pointy,1.6438485759916162
shape,ViT Small,6_10,streaky,1.6407486929050068
shape,ViT Small,6_15,pointy,1.1960210750225093
shape,ViT Small,6_15,streaky,1.4628474580443729
shape,ViT Small,6_20,pointy,1.1038955723422117
shape,ViT Small,6_20,streaky,1.20412751359564
shape,ViT Small,9_10,pointy,1.2778916870955264
shape,ViT Small,9_10,streaky,1.2326644198418009
